   1.10081E+03   6.28872E-10   1.16576E+02   1.00000E-30   0.00000E+00   3.47232E+01   4.65295E+00  -7.15570E+03
   1.83466E+03   1.99256E-10   9.02994E+01   1.00000E-30   0.00000E+00   2.68966E+01   1.14197E+00  -2.90578E+03
   2.56852E+03   9.34600E-11   7.63171E+01   1.00000E-30   0.00000E+00   2.27318E+01   4.52696E-01  -9.24428E+01
   3.30237E+03   5.30949E-11   6.73054E+01   1.00000E-30   0.00000E+00   2.00476E+01   2.26810E-01  -1.28038E+01
   4.03623E+03   3.38038E-11   6.08801E+01   1.00000E-30   0.00000E+00   1.81338E+01   1.30617E-01  -2.96846E+00
   4.77008E+03   2.32128E-11   5.60015E+01   1.00000E-30   0.00000E+00   1.66806E+01   8.25062E-02  -9.19330E-01
   5.50394E+03   1.68227E-11   5.21346E+01   1.00000E-30   0.00000E+00   1.55288E+01   5.56648E-02  -3.44396E-01
   6.23779E+03   1.26938E-11   4.89719E+01   1.00000E-30   0.00000E+00   1.45868E+01   3.94546E-02  -1.47790E-01
   6.97165E+03   9.88340E-12   4.63228E+01   1.00000E-30   0.00000E+00   1.37977E+01   2.90576E-02  -7.02501E-02
   7.70550E+03   7.89058E-12   4.40618E+01   1.00000E-30   0.00000E+00   1.31243E+01   2.20663E-02  -3.61711E-02
   8.43936E+03   6.43006E-12   4.21025E+01   1.00000E-30   0.00000E+00   1.25407E+01   1.71823E-02  -1.98601E-02
   9.17321E+03   5.33013E-12   4.03833E+01   1.00000E-30   0.00000E+00   1.20286E+01   1.36615E-02  -1.14962E-02
   9.90707E+03   4.48265E-12   3.88589E+01   1.00000E-30   0.00000E+00   1.15745E+01   1.10556E-02  -6.95542E-03
   1.06409E+04   3.81687E-12   3.74950E+01   1.00000E-30   0.00000E+00   1.11683E+01   9.08322E-03  -4.36933E-03
   1.13748E+04   3.28503E-12   3.62653E+01   1.00000E-30   0.00000E+00   1.08020E+01   7.56118E-03  -2.83487E-03
   1.21086E+04   2.85395E-12   3.51492E+01   1.00000E-30   0.00000E+00   1.04695E+01   6.36680E-03  -1.89175E-03
   1.28425E+04   2.50006E-12   3.41301E+01   1.00000E-30   0.00000E+00   1.01660E+01   5.41561E-03  -1.29390E-03
   1.35763E+04   2.20622E-12   3.31949E+01   1.00000E-30   0.00000E+00   9.88745E+00   4.64815E-03  -9.04533E-04
   1.43102E+04   1.95978E-12   3.23325E+01   1.00000E-30   0.00000E+00   9.63059E+00   4.02168E-03  -6.44707E-04
   1.50441E+04   1.75122E-12   3.15341E+01   1.00000E-30   0.00000E+00   9.39276E+00   3.50493E-03  -4.67637E-04
   1.57779E+04   1.57326E-12   3.07920E+01   1.00000E-30   0.00000E+00   9.17172E+00   3.07466E-03  -3.44559E-04
   1.65118E+04   1.42029E-12   3.01000E+01   1.00000E-30   0.00000E+00   8.96559E+00   2.71332E-03  -2.57523E-04
   1.72456E+04   1.28790E-12   2.94526E+01   1.00000E-30   0.00000E+00   8.77276E+00   2.40750E-03  -1.94981E-04
   1.79795E+04   1.17263E-12   2.88452E+01   1.00000E-30   0.00000E+00   8.59186E+00   2.14682E-03  -1.49396E-04
   1.87133E+04   1.07169E-12   2.82740E+01   1.00000E-30   0.00000E+00   8.42170E+00   1.92317E-03  -1.15726E-04
   1.94472E+04   9.82841E-13   2.77354E+01   1.00000E-30   0.00000E+00   8.26128E+00   1.73012E-03  -9.05384E-05
   2.01810E+04   9.04249E-13   2.72264E+01   1.00000E-30   0.00000E+00   8.10968E+00   1.56256E-03  -7.15029E-05
   2.09149E+04   8.34422E-13   2.67445E+01   1.00000E-30   0.00000E+00   7.96614E+00   1.41638E-03  -5.69527E-05
   2.16488E+04   7.72124E-13   2.62873E+01   1.00000E-30   0.00000E+00   7.82995E+00   1.28823E-03  -4.57289E-05
   2.23826E+04   7.16328E-13   2.58528E+01   1.00000E-30   0.00000E+00   7.70052E+00   1.17538E-03   7.10309E-05
   2.31165E+04   6.63026E-13   2.56813E+01   1.00000E-30   0.00000E+00   7.57731E+00   1.08070E-03  -8.21456E-05
   2.38503E+04   6.13207E-13   2.56803E+01   1.00000E-30   0.00000E+00   7.45982E+00   9.99461E-04  -9.14691E-05
   2.45842E+04   5.68340E-13   2.56916E+01   1.00000E-30   0.00000E+00   7.34764E+00   9.26739E-04  -1.68785E-05
   2.53180E+04   5.27758E-13   2.57197E+01   1.00000E-30   0.00000E+00   7.24037E+00   8.61509E-04  -2.61245E-05
   2.60519E+04   4.91242E-13   2.57334E+01   1.00000E-30   0.00000E+00   7.13766E+00   8.02329E-04  -1.20338E-05
   2.67857E+04   4.58286E-13   2.57332E+01   1.00000E-30   0.00000E+00   7.03921E+00   7.48495E-04  -1.56809E-06
   2.75196E+04   4.28197E-13   2.57506E+01   1.00000E-30   0.00000E+00   6.94472E+00   6.99826E-04  -1.60198E-05
   2.82534E+04   4.00831E-13   2.57635E+01   1.00000E-30   0.00000E+00   6.85393E+00   6.55428E-04  -6.26019E-06
   2.89873E+04   3.75827E-13   2.57792E+01   1.00000E-30   0.00000E+00   6.76662E+00   6.14918E-04  -4.31669E-06
   2.97212E+04   3.52844E-13   2.58101E+01   1.00000E-30   0.00000E+00   6.68256E+00   5.78006E-04  -1.58676E-05
   3.04550E+04   3.31947E-13   2.58139E+01   1.00000E-30   0.00000E+00   6.60155E+00   5.43853E-04   3.71445E-06
   3.11889E+04   3.12657E-13   2.58315E+01   1.00000E-30   0.00000E+00   6.52343E+00   5.12598E-04  -7.62585E-06
