   1.10081E+03   2.65126E+04   2.22340E-10   2.55262E+01   5.00000E-01   1.87140E-14   1.31449E-23   8.73294E-06   2.06200E-22   3.47290E-17   1.08790E-19   2.12280E-18   1.52727E-21   2.69175E-04   7.78884E-10   2.79920E-23   4.41377E-23   2.41754E-16   5.34476E-24   2.96660E-19   3.57565E-15   1.00000E-30
   1.83466E+03   1.31780E+04   7.04475E-11   2.55168E+01   5.00000E-01   5.97666E-14   4.10748E-23   1.51073E-05   6.50788E-22   7.23652E-17   3.52922E-19   7.02962E-18   4.41386E-21   2.69175E-04   1.59718E-09   1.00881E-22   1.59071E-22   4.92648E-16   1.68217E-23   9.13453E-19   6.28198E-15   1.00000E-30
   2.56852E+03   8.46466E+03   3.30431E-11   2.55296E+01   5.00000E-01   1.28818E-13   8.66628E-23   2.14434E-05   1.38747E-21   1.21764E-16   7.73648E-19   1.57487E-17   8.71584E-21   2.69175E-04   2.64026E-09   2.41029E-22   3.80061E-22   8.09596E-16   3.57494E-23   1.89895E-18   9.07605E-15   1.00000E-30
   3.30237E+03   6.10482E+03   1.87719E-11   2.55256E+01   5.00000E-01   2.29171E-13   1.50921E-22   2.76510E-05   2.44228E-21   1.83364E-16   1.40015E-18   2.91367E-17   1.43546E-20   2.69174E-04   3.90415E-09   4.68004E-22   7.37969E-22   1.18984E-15   6.27047E-23   3.25863E-18   1.19130E-14   1.00000E-30
   4.03623E+03   4.70557E+03   1.19515E-11   2.55273E+01   5.00000E-01   3.63499E-13   2.34475E-22   3.36611E-05   3.83601E-21   2.57492E-16   2.26022E-18   4.80996E-17   2.12895E-20   2.69174E-04   5.37851E-09   8.00101E-22   1.26165E-21   1.62952E-15   9.81068E-23   4.99010E-18   1.47775E-14   1.00000E-30
   4.77008E+03   3.78749E+03   8.20697E-12   2.55401E+01   5.00000E-01   5.34069E-13   3.37716E-22   3.94349E-05   5.58621E-21   3.44395E-16   3.38077E-18   7.35945E-17   2.95096E-20   2.69174E-04   7.05093E-09   1.25414E-21   1.97763E-21   2.12436E-15   1.42272E-22   7.08697E-18   1.76616E-14   1.00000E-30
   5.50394E+03   3.14283E+03   5.94772E-12   2.55357E+01   5.00000E-01   7.43278E-13   4.60852E-22   4.49822E-05   7.70812E-21   4.44460E-16   4.78875E-18   1.06613E-16   3.90097E-20   2.69174E-04   8.91719E-09   1.84603E-21   2.91100E-21   2.67134E-15   1.95440E-22   9.53944E-18   2.05469E-14   1.00000E-30
   6.23779E+03   2.66756E+03   4.48794E-12   2.55432E+01   5.00000E-01   9.92634E-13   6.04012E-22   5.02657E-05   1.02153E-20   5.57772E-16   6.50950E-18   1.48219E-16   4.98225E-20   2.69173E-04   1.09578E-08   2.58932E-21   4.08315E-21   3.26523E-15   2.57795E-22   1.23388E-17   2.34423E-14   1.00000E-30
   6.97165E+03   2.30402E+03   3.49431E-12   2.55529E+01   5.00000E-01   1.28389E-12   7.67229E-22   5.52921E-05   1.31201E-20   6.84582E-16   8.56832E-18   1.99503E-16   6.19752E-20   2.69173E-04   1.31630E-08   3.49674E-21   5.51414E-21   3.90237E-15   3.29478E-22   1.54750E-17   2.63417E-14   1.00000E-30
   7.70550E+03   2.01782E+03   2.78974E-12   2.55547E+01   5.00000E-01   1.61884E-12   9.50464E-22   6.00759E-05   1.64336E-20   8.25223E-16   1.09903E-17   2.61588E-16   7.54962E-20   2.69172E-04   1.55261E-08   4.58006E-21   7.22258E-21   4.57971E-15   4.10591E-22   1.89374E-17   2.92372E-14   1.00000E-30
   8.43936E+03   1.78723E+03   2.27337E-12   2.55651E+01   5.00000E-01   1.99836E-12   1.15370E-21   6.46007E-05   2.01663E-20   9.79690E-16   1.37980E-17   3.35637E-16   9.04408E-20   2.69172E-04   1.80270E-08   5.84858E-21   9.22310E-21   5.29239E-15   5.01218E-22   2.27189E-17   3.21395E-14   1.00000E-30
   9.17321E+03   1.59786E+03   1.88449E-12   2.55814E+01   5.00000E-01   2.42360E-12   1.37688E-21   6.88756E-05   2.43278E-20   1.14816E-15   1.70139E-17   4.22815E-16   1.06853E-19   2.69172E-04   2.06545E-08   7.31111E-21   1.15296E-20   6.03702E-15   6.01422E-22   2.68119E-17   3.50482E-14   1.00000E-30
   9.90707E+03   1.43986E+03   1.58485E-12   2.55788E+01   5.00000E-01   2.89705E-12   1.61982E-21   7.29427E-05   2.89271E-20   1.33136E-15   2.06629E-17   5.24316E-16   1.24748E-19   2.69171E-04   2.34168E-08   8.97777E-21   1.41582E-20   6.81311E-15   7.11225E-22   3.12039E-17   3.79416E-14   1.00000E-30
   1.06409E+04   1.30622E+03   1.34947E-12   2.55976E+01   5.00000E-01   3.41743E-12   1.88262E-21   7.67552E-05   3.39728E-20   1.52858E-15   2.47597E-17   6.41298E-16   1.44222E-19   2.69171E-04   2.62720E-08   1.08519E-20   1.71140E-20   7.61333E-15   8.30699E-22   3.58981E-17   4.08569E-14   1.00000E-30
   1.13748E+04   1.19186E+03   1.16143E-12   2.56094E+01   5.00000E-01   3.98735E-12   2.16509E-21   8.03617E-05   3.94729E-20   1.74067E-15   2.93282E-17   7.74951E-16   1.65284E-19   2.69171E-04   2.92334E-08   1.29425E-20   2.04112E-20   8.43817E-15   9.59844E-22   4.08827E-17   4.37687E-14   1.00000E-30
